77.158.173.15,170816.121707965,29,8,#343a40
77.158.173.14,170822.427482288,0,1,#343a40
77.158.173.15,170823.95962795,28,9,#343a40
77.158.173.8,170824.621747068,42,12,#343a40
77.158.173.14,170828.325480597,25,46,#007bff
77.158.173.15,170830.045683449,27,10,#343a40
77.158.173.8,170832.277405957,42,13,#343a40
77.158.173.14,170833.491899448,23,47,#007bff
212.194.67.15,170834.369675064,38,2,#ff5a5f
77.158.173.8,170838.050630574,41,14,#343a40
77.158.173.14,170838.812782654,25,47,#007bff
77.158.173.15,170839.896412431,28,10,#343a40
77.158.173.8,170843.968970312,40,15,#343a40
77.158.173.14,170845.050095007,5,39,#2a2d43
212.194.67.15,170845.731670345,45,88,#4b0082
77.158.173.15,170849.216855542,29,9,#343a40
77.158.173.8,170849.364990269,39,16,#343a40
77.158.173.14,170852.099752754,4,39,#2a2d43
212.194.67.15,170852.402762917,46,88,#4b0082
77.158.173.8,170858.065225998,38,17,#343a40
77.158.173.14,170859.006915949,6,39,#2a2d43
77.158.173.15,170859.167297114,28,12,#343a40
77.158.173.12,170859.194916743,22,44,#00b4d8
77.158.173.14,170866.360488431,7,39,#2a2d43
77.158.173.8,170866.556737008,37,17,#343a40
77.158.173.12,170872.464865656,7,39,#f8f9fa
77.158.173.14,170872.94430395,0,2,#343a40
77.158.173.8,170875.605946188,36,17,#343a40
77.158.173.14,170879.056506087,1,3,#343a40
77.158.173.12,170879.743496757,6,39,#f8f9fa
77.158.173.8,170882.8303546,35,17,#343a40
77.158.173.14,170884.336970305,6,30,#ff5a5f
77.158.173.12,170885.485145004,45,27,#ff5a5f
77.158.173.14,170889.554266478,6,39,#2a2d43
77.158.173.8,170890.137940414,34,17,#343a40
77.158.173.14,170895.077969816,2,3,#343a40
77.158.173.12,170896.173910503,4,39,#f8f9fa
77.158.173.8,170898.31686039,33,17,#343a40
77.158.173.14,170900.822397122,3,2,#343a40
77.158.173.12,170903.109738954,5,39,#f8f9fa
77.158.173.8,170905.610565658,32,16,#343a40
77.158.173.15,170906.90130627,19,37,#d4af37
77.158.173.14,170907.01345426,3,1,#343a40
77.158.173.12,170909.213247687,6,39,#f8f9fa
77.158.173.8,170912.419557094,31,15,#343a40
77.158.173.14,170912.936703178,21,78,#b19cd9
77.158.173.15,170916.99707043,20,37,#ffd166
77.158.173.12,170917.763505358,10,44,#4b0082
77.158.173.14,170918.641515815,4,3,#343a40
77.158.173.8,170921.098492145,30,14,#343a40
77.158.173.15,170923.397767913,30,14,#343a40
77.158.173.12,170924.371355928,10,43,#4b0082
86.238.138.153,170925.275343058,28,12,#ff5a5f
77.158.173.14,170926.169681793,21,79,#b19cd9
77.158.173.8,170927.670915884,29,13,#343a40
77.158.173.15,170928.72122242,29,13,#343a40
77.158.173.12,170930.922645136,11,43,#4b0082
77.158.173.14,170931.888949853,5,3,#343a40
86.238.138.153,170934.292588712,29,13,#ff5a5f
77.158.173.15,170934.382925239,29,12,#343a40
77.158.173.8,170934.426727708,29,13,#343a40
77.158.173.12,170937.680460419,12,42,#4b0082
77.158.173.14,170937.73121484,6,1,#343a40
77.158.173.15,170939.905064574,29,11,#343a40
86.238.138.153,170941.37141771,29,11,#ff5a5f
77.158.173.8,170942.954098227,29,12,#343a40
77.158.173.12,170944.030493197,13,41,#4b0082
77.158.173.14,170945.295135259,6,2,#343a40
77.158.173.15,170945.46552601,29,10,#343a40
86.238.138.153,170947.176616984,29,12,#ff5a5f
77.158.173.12,170950.244988682,13,41,#4b0082
77.158.173.15,170951.47462442,29,12,#343a40
77.158.173.14,170951.918938506,0,5,#343a40
86.238.138.153,170953.01209842,29,12,#ff5a5f
77.158.173.8,170955.317497864,29,11,#343a40
77.158.173.12,170956.696821389,12,41,#4b0082
77.158.173.15,170957.375441641,21,37,#ffd166
86.238.138.153,170958.205278133,29,11,#ff5a5f
77.158.173.14,170959.437755801,1,5,#343a40
77.158.173.12,170963.590779956,14,40,#4b0082
77.158.173.15,170963.737085488,29,12,#343a40
77.158.173.8,170964.000115373,38,6,#343a40
77.158.173.14,170966.59554843,2,5,#343a40
86.238.138.153,170967.305286546,29,12,#ff5a5f
77.158.173.12,170971.951166168,11,44,#ffd166
77.158.173.14,170972.748647676,3,5,#343a40
86.238.138.153,170972.960411913,29,13,#ff5a5f
77.158.173.8,170973.383295598,37,7,#343a40
77.158.173.15,170977.417176408,22,37,#ffd166
77.158.173.12,170978.182611477,11,45,#ffd166
86.238.138.153,170978.481491091,30,14,#ff5a5f
77.158.173.14,170980.262354921,4,5,#343a40
77.158.173.8,170981.682727796,36,8,#343a40
118.167.11.45,170983.534820378,15,37,#ff5a5f
86.238.138.153,170983.595265164,36,8,#ff5a5f
77.158.173.15,170983.695445355,35,9,#343a40
77.158.173.12,170984.932901914,12,44,#ffd166
77.158.173.14,170987.906472566,5,5,#343a40
77.158.173.8,170989.330468483,34,10,#343a40
118.167.11.45,170990.824635198,12,35,#ff5a5f
77.158.173.12,170991.528548703,12,43,#ffd166
86.238.138.153,170992.012392976,33,11,#ff5a5f
77.158.173.14,170995.24847281,6,5,#343a40
77.158.173.10,170995.552689495,46,46,#ff5a5f
77.158.173.15,170995.941443271,23,37,#ffd166
77.158.173.8,170996.015324427,32,12,#343a40
118.167.11.45,170996.64985792,13,23,#ff5a5f
77.158.173.12,170998.010311724,13,43,#ffd166
193.48.143.174,170998.636086451,0,95,#b19cd9
86.238.138.153,170998.834299748,31,13,#ff5a5f
77.158.173.14,171001.068618114,0,6,#ff5a5f
118.167.11.45,171001.759773949,11,15,#ff5a5f
77.158.173.8,171002.12216882,31,13,#343a40
77.158.173.15,171003.258062858,31,13,#343a40
77.158.173.12,171003.997467429,13,42,#ffd166
193.48.143.174,171004.471464881,1,95,#b19cd9
86.238.138.153,171004.524576182,31,13,#ff5a5f
